,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)",
,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4A2] Sitios no controlados de eliminación de residuos ,,"5,321.690",,,,,,,,,,,,,,,,,,,,,,,,,,"5,321.690",,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"9,521.448",,,,,,,,,,,,,,,,,,,,,,,,,,"9,521.448",,,,
[4B] Tratamiento biológico de los residuos sólidos,,90.969,64.572,,,,,,,,,,,,,,,,,,,,,,,,,155.541,,,,
[4C] Incineración y quema a cielo abierto  de residuos,"1,037.909",747.044,178.700,,,,,,,,,,,,,,,,,,,,,,,,,"1,963.653",,,1.538,
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,54.963,0.094,2.105,,,,,,,,,,,,,,,,,,,,,,,,,57.162,,,,
[4C2] Quema a cielo abierto de residuos sólidos,982.945,746.950,176.595,,,,,,,,,,,,,,,,,,,,,,,,,"1,906.491",,,1.538,
[4D] Tratamiento y eliminación de aguas residuales,,"20,597.215","2,512.251",,,,,,,,,,,,,,,,,,,,,,,,,"23,109.466",,,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,191.354","2,512.251",,,,,,,,,,,,,,,,,,,,,,,,,"6,703.605",,,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"16,405.861",,,,,,,,,,,,,,,,,,,,,,,,,,"16,405.861",,,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
