,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,6.177,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,494.28","1,410.25","19,995.995",,,,,,,,,,,,,,,,,,,,,,,,,"22,900.520",,,5.660
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,257.875",447.318,,,,,,,,,,,,,,,,,,,,,,,,,"1,705.193",,,5.660
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,606.260,212.400,,,,,,,,,,,,,,,,,,,,,,,,,818.660,,,2.012
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,586.175,178.368,,,,,,,,,,,,,,,,,,,,,,,,,764.543,,,3.246
          [3C1c] Emisiones de quemado de biomasa en tierras praderas,,65.440,56.550,,,,,,,,,,,,,,,,,,,,,,,,,121.990,,,0.401
          [3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3C2] Encalado,35.600,,,,,,,,,,,,,,,,,,,,,,,,,,,35.600,,,
     [3C3] Aplicación de urea,"1,458.680",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,458.680",,,
     [3C4] Emisiones directas de los N2O de los suelos gestionados,,,"11,316.014",,,,,,,,,,,,,,,,,,,,,,,,,"11,316.014",,,
     [3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,559.436",,,,,,,,,,,,,,,,,,,,,,,,,"5,559.436",,,
     [3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"2,673.227",,,,,,,,,,,,,,,,,,,,,,,,,"2,673.227",,,
     [3C7] Cultivo del arroz,,152.370,,,,,,,,,,,,,,,,,,,,,,,,,,152.370,,,
  [3D] Otros,"3,258.132",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,258.132",,,
     [3D1] Productos de madera recolectada,3258.131918,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,258.132",,,
     [3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,952.610,"38,422.292","3,242.220",,,,,,,,,,,,,,,,,,,,,,,,,"42,617.122",,,1.493
[4A] Eliminación de residuos sólidos,,"17,168.913",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"17,168.913",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"8,886.510",,,,,,,,,,,,,,,,,,,,,,,,,,"8,886.510",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"3,546.950",,,,,,,,,,,,,,,,,,,,,,,,,,"3,546.950",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"4,735.452",,,,,,,,,,,,,,,,,,,,,,,,,,"4,735.452",,,
[4B] Tratamiento biológico de los residuos sólidos,,120.002,85.180,,,,,,,,,,,,,,,,,,,,,,,,,205.182,,,
[4C] Incineración y quema a cielo abierto  de residuos,952.610,801.955,177.157,,,,,,,,,,,,,,,,,,,,,,,,,"1,931.721",,,1.493
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,39.337,0.098,2.026,,,,,,,,,,,,,,,,,,,,,,,,,41.462,,,
[4C2] Quema a cielo abierto de residuos sólidos,913.272,801.856,175.131,,,,,,,,,,,,,,,,,,,,,,,,,"1,890.259",,,1.493
[4D] Tratamiento y eliminación de aguas residuales,,"20,331.423","2,979.883",,,,,,,,,,,,,,,,,,,,,,,,,"23,311.306",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,632.088","2,979.883",,,,,,,,,,,,,,,,,,,,,,,,,"7,611.971",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"15,699.335",,,,,,,,,,,,,,,,,,,,,,,,,,"15,699.335",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
EMISIONES NETAS (Gg de CO2e),"320,049.422","177,993.314","34,340.821","1,530.983",66.289,0.000,0.507,0.000,"3,966.544","3,867.351",30.975,22.586,0.000,0.000,0.000,0.000,220.935,0.000,0.001,1.131,0.631,0.127,0.000,0.045,0.000,1.145,140.893,"542,233.701",,,84.703
